leverage_segment,Classification,avg_pnl,win_rate,pnl_std,drawdown,trades,avg_leverage,segment_type,frequency_segment,consistency_segment
High_Leverage,Fear,145211.43070941666,0.9166666666666666,228275.14571717073,-3328.1724847500004,4745.5,6914978.990627084,leverage_segment,,
High_Leverage,Greed,29833.062436642856,0.7142857142857143,43775.22113202252,-397.42972428571426,1638.5714285714287,223121.4365436253,leverage_segment,,
Low_Leverage,Fear,401856.3566935,1.0,642836.7531741573,0.0,2497.375,22.774813894836146,leverage_segment,,
Low_Leverage,Greed,128213.876219,0.8260869565217391,331336.52218861494,0.0,883.0869565217391,111.47606084772382,leverage_segment,,
,Fear,329421.23960925,0.9375,505898.4072216503,-1282.903907875,7372.0625,245251.5001528186,frequency_segment,Frequent,
,Greed,185433.08545920003,1.0,282091.9380081276,0.0,5470.6,34830.683744333255,frequency_segment,Frequent,
,Fear,89324.084801625,0.9375,111421.62863239348,-3709.35481925,994.875,10127228.373194756,frequency_segment,Infrequent,
,Greed,76231.76874543751,0.75,263629.6274335366,-173.875504375,496.8125,92253.4575715183,frequency_segment,Infrequent,
,Fear,152529.52258973333,0.9333333333333333,222564.6862050031,-2662.5379878000003,4248.633333333333,5531900.7945671035,consistency_segment,,Consistent
,Greed,105545.36934874287,0.8285714285714286,261980.8950720226,-158.9718897142857,1222.1142857142856,89318.78490105843,consistency_segment,,Consistent
,Fear,1062019.756441,1.0,1224307.2568775273,0.0,3206.0,1327.0682740439827,consistency_segment,,Inconsistent
,Greed,-163752.950028,0.0,231581.6428082013,0.0,238.5,53.29473660347004,consistency_segment,,Inconsistent
